Leading Cancer Sites,Year,Region,Race,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Gallbladder,2005,South,Black or African American,0.615,0.773,1.256
Gallbladder,2005,South,White,0.602,0.576,0.958
Gallbladder,2005,West,Asian or Pacific Islander,0.536,0.76,1.418
Gallbladder,2005,West,White,0.456,0.518,1.136
Gallbladder,2006,Northeast,Black or African American,0.543,1.199,2.207
Gallbladder,2006,Northeast,White,0.586,0.736,1.256
Gallbladder,2006,Midwest,Black or African American,0.577,0.876,1.517
Gallbladder,2006,Midwest,White,0.645,0.677,1.049
Gallbladder,2006,South,Black or African American,0.561,0.73,1.303
Gallbladder,2006,South,White,0.532,0.552,1.037
Gallbladder,2006,West,American Indian or Alaska Native,0.48,2.164,4.509
Gallbladder,2006,West,Asian or Pacific Islander,0.507,0.492,0.971
Gallbladder,2006,West,White,0.602,0.601,0.998
Gallbladder,2007,Northeast,Asian or Pacific Islander,0.633,1.143,1.804
Gallbladder,2007,Northeast,Black or African American,0.468,0.907,1.937
Gallbladder,2007,Northeast,White,0.52,0.659,1.265
Gallbladder,2007,Midwest,Black or African American,0.429,0.725,1.689
Gallbladder,2007,Midwest,White,0.544,0.585,1.076
Gallbladder,2007,South,Black or African American,0.468,0.706,1.51
Gallbladder,2007,South,White,0.59,0.548,0.929
Gallbladder,2007,West,Asian or Pacific Islander,0.424,0.611,1.44
Gallbladder,2007,West,Black or African American,0.603,0.615,1.02
Gallbladder,2007,West,White,0.589,0.602,1.022
Gallbladder,2008,Northeast,Asian or Pacific Islander,0.622,1.025,1.647
Gallbladder,2008,Northeast,Black or African American,0.422,0.921,2.182
Gallbladder,2008,Northeast,White,0.507,0.651,1.283
Gallbladder,2008,Midwest,Black or African American,0.598,0.987,1.651
Gallbladder,2008,Midwest,White,0.627,0.656,1.047
Gallbladder,2008,South,Black or African American,0.627,0.933,1.488
Gallbladder,2008,South,White,0.568,0.538,0.947
Gallbladder,2008,West,Asian or Pacific Islander,0.521,0.663,1.271
Gallbladder,2008,West,White,0.516,0.502,0.974
Gallbladder,2009,Northeast,Asian or Pacific Islander,0.586,1.278,2.181
Gallbladder,2009,Northeast,Black or African American,0.531,1.016,1.914
Gallbladder,2009,Northeast,White,0.516,0.659,1.278
Gallbladder,2009,Midwest,Black or African American,0.514,0.89,1.733
Gallbladder,2009,Midwest,White,0.596,0.657,1.102
Gallbladder,2009,South,Asian or Pacific Islander,0.674,0.822,1.218
Gallbladder,2009,South,Black or African American,0.582,0.839,1.442
Gallbladder,2009,South,White,0.533,0.536,1.006
Gallbladder,2009,West,Asian or Pacific Islander,0.633,0.753,1.189
Gallbladder,2009,West,Black or African American,0.564,0.56,0.992
Gallbladder,2009,West,White,0.515,0.53,1.028
Gallbladder,2010,Northeast,Asian or Pacific Islander,0.642,0.708,1.103
Gallbladder,2010,Northeast,Black or African American,0.571,1.189,2.084
Gallbladder,2010,Northeast,White,0.603,0.722,1.197
Gallbladder,2010,Midwest,Black or African American,0.514,0.947,1.842
Gallbladder,2010,Midwest,White,0.556,0.616,1.107
Gallbladder,2010,South,Asian or Pacific Islander,0.714,0.987,1.382
Gallbladder,2010,South,Black or African American,0.487,0.826,1.697
Gallbladder,2010,South,White,0.547,0.522,0.955
Gallbladder,2010,West,Asian or Pacific Islander,0.516,0.55,1.065
Gallbladder,2010,West,Black or African American,0.441,0.64,1.45
Gallbladder,2010,West,White,0.54,0.56,1.038
Gallbladder,2011,Northeast,Asian or Pacific Islander,0.356,0.669,1.88
Gallbladder,2011,Northeast,Black or African American,0.53,1.048,1.976
Gallbladder,2011,Northeast,White,0.526,0.632,1.202
Gallbladder,2011,Midwest,Black or African American,0.505,0.861,1.704
Gallbladder,2011,Midwest,White,0.564,0.625,1.107
Gallbladder,2011,South,Asian or Pacific Islander,0.57,0.773,1.357
Gallbladder,2011,South,Black or African American,0.537,0.915,1.702
Gallbladder,2011,South,White,0.591,0.511,0.864
Gallbladder,2011,West,Asian or Pacific Islander,0.549,0.612,1.114
Gallbladder,2011,West,Black or African American,0.552,0.86,1.558
Gallbladder,2011,West,White,0.491,0.543,1.107
Gallbladder,2012,Northeast,Asian or Pacific Islander,0.319,0.581,1.819
Gallbladder,2012,Northeast,Black or African American,0.422,0.841,1.992
Gallbladder,2012,Northeast,White,0.586,0.666,1.135
Gallbladder,2012,Midwest,Black or African American,0.738,1.138,1.541
Gallbladder,2012,Midwest,White,0.618,0.646,1.045
Gallbladder,2012,South,Black or African American,0.532,0.851,1.599
Gallbladder,2012,South,White,0.482,0.467,0.969
Gallbladder,2012,West,American Indian or Alaska Native,0.648,1.483,2.289
Gallbladder,2012,West,Asian or Pacific Islander,0.439,0.507,1.156
Gallbladder,2012,West,White,0.569,0.586,1.031
Gallbladder,2013,Northeast,Asian or Pacific Islander,0.505,0.743,1.472
Gallbladder,2013,Northeast,Black or African American,0.542,1.208,2.23
Gallbladder,2013,Northeast,White,0.501,0.574,1.147
Gallbladder,2013,Midwest,Black or African American,0.444,0.841,1.894
Gallbladder,2013,Midwest,White,0.582,0.595,1.023
Gallbladder,2013,South,Asian or Pacific Islander,0.654,0.798,1.221
Gallbladder,2013,South,Black or African American,0.521,0.905,1.737
Gallbladder,2013,South,White,0.57,0.526,0.924
Gallbladder,2013,West,Asian or Pacific Islander,0.688,0.797,1.158
Gallbladder,2013,West,Black or African American,0.905,0.889,0.983
Gallbladder,2013,West,White,0.508,0.547,1.078
Gallbladder,2014,Northeast,Asian or Pacific Islander,0.718,1.26,1.755
Gallbladder,2014,Northeast,Black or African American,0.395,0.887,2.244
Gallbladder,2014,Northeast,White,0.512,0.614,1.2
Gallbladder,2014,Midwest,Black or African American,0.451,0.878,1.947
Gallbladder,2014,Midwest,White,0.624,0.626,1.003
Gallbladder,2014,South,Asian or Pacific Islander,0.446,0.537,1.204
Gallbladder,2014,South,Black or African American,0.572,0.951,1.661
Gallbladder,2014,South,White,0.57,0.526,0.923
Gallbladder,2014,West,Asian or Pacific Islander,0.488,0.67,1.371
Gallbladder,2014,West,Black or African American,0.384,0.613,1.597
Gallbladder,2014,West,White,0.563,0.603,1.072
Gallbladder,2015,Northeast,Asian or Pacific Islander,0.556,0.83,1.494
Gallbladder,2015,Northeast,Black or African American,0.412,0.896,2.174
Gallbladder,2015,Northeast,White,0.593,0.599,1.01
Gallbladder,2015,Midwest,Black or African American,0.589,1.014,1.72
Gallbladder,2015,Midwest,White,0.508,0.545,1.074
Gallbladder,2015,South,Asian or Pacific Islander,0.519,0.528,1.018
Gallbladder,2015,South,Black or African American,0.578,0.892,1.543
Gallbladder,2015,South,White,0.527,0.464,0.881
Gallbladder,2015,West,Asian or Pacific Islander,0.574,0.707,1.231
Gallbladder,2015,West,Black or African American,0.487,0.701,1.44
Gallbladder,2015,West,White,0.485,0.519,1.07
Gallbladder,2016,Northeast,Asian or Pacific Islander,0.462,0.601,1.3
Gallbladder,2016,Northeast,Black or African American,0.447,1.071,2.398
Gallbladder,2016,Northeast,White,0.535,0.554,1.036
Gallbladder,2016,Midwest,Black or African American,0.412,0.735,1.782
Gallbladder,2016,Midwest,White,0.62,0.59,0.952
Gallbladder,2016,South,Asian or Pacific Islander,0.748,0.766,1.024
Gallbladder,2016,South,Black or African American,0.505,0.787,1.558
Gallbladder,2016,South,White,0.508,0.447,0.88
Gallbladder,2016,West,American Indian or Alaska Native,0.537,1.045,1.946
Gallbladder,2016,West,Asian or Pacific Islander,0.65,0.605,0.931
Gallbladder,2016,West,Black or African American,0.689,0.964,1.399
Gallbladder,2016,West,White,0.553,0.57,1.03
Kidney and Renal Pelvis,1999,Northeast,Black or African American,0.264,3.168,12.01
Kidney and Renal Pelvis,1999,Northeast,White,0.298,3.95,13.276
Kidney and Renal Pelvis,1999,Midwest,Black or African American,0.298,4.188,14.029
Kidney and Renal Pelvis,1999,Midwest,White,0.35,4.445,12.686
Kidney and Renal Pelvis,1999,South,American Indian or Alaska Native,0.262,4.115,15.693
Kidney and Renal Pelvis,1999,South,Black or African American,0.359,4.339,12.089
Kidney and Renal Pelvis,1999,South,White,0.335,4.064,12.137
Kidney and Renal Pelvis,1999,West,American Indian or Alaska Native,0.507,7.238,14.268
Kidney and Renal Pelvis,1999,West,Asian or Pacific Islander,0.371,2.127,5.741
Kidney and Renal Pelvis,1999,West,Black or African American,0.392,4.955,12.627
Kidney and Renal Pelvis,1999,West,White,0.351,3.908,11.134
Kidney and Renal Pelvis,2000,Northeast,Asian or Pacific Islander,0.248,1.431,5.779
Kidney and Renal Pelvis,2000,Northeast,Black or African American,0.281,3.115,11.095
Kidney and Renal Pelvis,2000,Northeast,White,0.302,4.069,13.481
Kidney and Renal Pelvis,2000,Midwest,Black or African American,0.325,4.878,14.997
Kidney and Renal Pelvis,2000,Midwest,White,0.357,4.715,13.219
Kidney and Renal Pelvis,2000,South,Black or African American,0.321,4.27,13.284
Kidney and Renal Pelvis,2000,South,White,0.335,4.356,13.001
Kidney and Renal Pelvis,2000,West,American Indian or Alaska Native,0.346,4.507,13.041
Kidney and Renal Pelvis,2000,West,Asian or Pacific Islander,0.338,2.257,6.676
Kidney and Renal Pelvis,2000,West,Black or African American,0.322,4.104,12.733
Kidney and Renal Pelvis,2000,West,White,0.347,3.947,11.374
Kidney and Renal Pelvis,2001,Northeast,Asian or Pacific Islander,0.245,1.577,6.444
Kidney and Renal Pelvis,2001,Northeast,Black or African American,0.295,3.484,11.79
Kidney and Renal Pelvis,2001,Northeast,White,0.285,4.082,14.313
Kidney and Renal Pelvis,2001,Midwest,Black or African American,0.31,4.813,15.537
Kidney and Renal Pelvis,2001,Midwest,White,0.357,4.827,13.511
Kidney and Renal Pelvis,2001,South,American Indian or Alaska Native,0.38,4.972,13.097
Kidney and Renal Pelvis,2001,South,Asian or Pacific Islander,0.287,1.607,5.605
Kidney and Renal Pelvis,2001,South,Black or African American,0.321,4.306,13.406
Kidney and Renal Pelvis,2001,South,White,0.321,4.349,13.527
Kidney and Renal Pelvis,2001,West,American Indian or Alaska Native,0.47,5.696,12.129
Kidney and Renal Pelvis,2001,West,Asian or Pacific Islander,0.345,2.089,6.064
Kidney and Renal Pelvis,2001,West,Black or African American,0.332,4.593,13.816
Kidney and Renal Pelvis,2001,West,White,0.327,3.987,12.206
Kidney and Renal Pelvis,2002,Northeast,Asian or Pacific Islander,0.205,1.132,5.535
Kidney and Renal Pelvis,2002,Northeast,Black or African American,0.241,3.008,12.499
Kidney and Renal Pelvis,2002,Northeast,White,0.285,4.144,14.558
Kidney and Renal Pelvis,2002,Midwest,American Indian or Alaska Native,0.483,7.038,14.574
Kidney and Renal Pelvis,2002,Midwest,Black or African American,0.28,4.854,17.34
Kidney and Renal Pelvis,2002,Midwest,White,0.326,4.637,14.202
Kidney and Renal Pelvis,2002,South,American Indian or Alaska Native,0.368,4.299,11.675
Kidney and Renal Pelvis,2002,South,Black or African American,0.297,4.185,14.082
Kidney and Renal Pelvis,2002,South,White,0.311,4.354,14.016
Kidney and Renal Pelvis,2002,West,American Indian or Alaska Native,0.499,6.825,13.664
Kidney and Renal Pelvis,2002,West,Asian or Pacific Islander,0.289,1.839,6.369
Kidney and Renal Pelvis,2002,West,Black or African American,0.277,3.905,14.113
Kidney and Renal Pelvis,2002,West,White,0.33,4.081,12.365
Kidney and Renal Pelvis,2003,Northeast,Asian or Pacific Islander,0.213,1.409,6.624
Kidney and Renal Pelvis,2003,Northeast,Black or African American,0.259,3.407,13.169
Kidney and Renal Pelvis,2003,Northeast,White,0.27,4,14.838
Kidney and Renal Pelvis,2003,Midwest,Black or African American,0.292,4.797,16.422
Kidney and Renal Pelvis,2003,Midwest,White,0.319,4.646,14.569
Kidney and Renal Pelvis,2003,South,American Indian or Alaska Native,0.235,3.74,15.933
Kidney and Renal Pelvis,2003,South,Asian or Pacific Islander,0.27,1.788,6.635
Kidney and Renal Pelvis,2003,South,Black or African American,0.284,4.22,14.885
Kidney and Renal Pelvis,2003,South,White,0.292,4.343,14.881
Kidney and Renal Pelvis,2003,West,American Indian or Alaska Native,0.295,5.589,18.94
Kidney and Renal Pelvis,2003,West,Asian or Pacific Islander,0.263,1.984,7.555
Kidney and Renal Pelvis,2003,West,Black or African American,0.267,3.518,13.154
Kidney and Renal Pelvis,2003,West,White,0.309,4.021,13.006
Kidney and Renal Pelvis,2004,Northeast,Asian or Pacific Islander,0.146,0.959,6.574
Kidney and Renal Pelvis,2004,Northeast,Black or African American,0.225,2.988,13.278
Kidney and Renal Pelvis,2004,Northeast,White,0.255,4.039,15.81
Kidney and Renal Pelvis,2004,Midwest,Black or African American,0.256,4.2,16.397
Kidney and Renal Pelvis,2004,Midwest,White,0.297,4.568,15.407
Kidney and Renal Pelvis,2004,South,American Indian or Alaska Native,0.286,5.05,17.68
Kidney and Renal Pelvis,2004,South,Asian or Pacific Islander,0.258,1.692,6.568
Kidney and Renal Pelvis,2004,South,Black or African American,0.282,4.232,15.024
Kidney and Renal Pelvis,2004,South,White,0.283,4.283,15.124
Kidney and Renal Pelvis,2004,West,American Indian or Alaska Native,0.32,5.219,16.307
Kidney and Renal Pelvis,2004,West,Asian or Pacific Islander,0.238,1.56,6.554
Kidney and Renal Pelvis,2004,West,Black or African American,0.274,4.21,15.343
Kidney and Renal Pelvis,2004,West,White,0.296,3.957,13.389
Kidney and Renal Pelvis,2005,Northeast,Asian or Pacific Islander,0.28,1.836,6.551
Kidney and Renal Pelvis,2005,Northeast,Black or African American,0.223,3.134,14.066
Kidney and Renal Pelvis,2005,Northeast,White,0.243,3.87,15.924
Kidney and Renal Pelvis,2005,Midwest,American Indian or Alaska Native,0.305,6.221,20.387
Kidney and Renal Pelvis,2005,Midwest,Black or African American,0.265,4.637,17.485
Kidney and Renal Pelvis,2005,Midwest,White,0.288,4.495,15.597
Kidney and Renal Pelvis,2005,South,American Indian or Alaska Native,0.202,2.926,14.495
Kidney and Renal Pelvis,2005,South,Asian or Pacific Islander,0.333,1.649,4.948
Kidney and Renal Pelvis,2005,South,Black or African American,0.259,4.186,16.141
Kidney and Renal Pelvis,2005,South,White,0.272,4.334,15.916
Kidney and Renal Pelvis,2005,West,American Indian or Alaska Native,0.342,5.321,15.564
Kidney and Renal Pelvis,2005,West,Asian or Pacific Islander,0.256,1.931,7.535
Kidney and Renal Pelvis,2005,West,Black or African American,0.23,4.105,17.883
Kidney and Renal Pelvis,2005,West,White,0.292,4.036,13.809
Kidney and Renal Pelvis,2006,Northeast,Asian or Pacific Islander,0.129,1.199,9.303
Kidney and Renal Pelvis,2006,Northeast,Black or African American,0.227,3.277,14.424
Kidney and Renal Pelvis,2006,Northeast,White,0.229,3.857,16.853
Kidney and Renal Pelvis,2006,Midwest,American Indian or Alaska Native,0.314,6.756,21.524
Kidney and Renal Pelvis,2006,Midwest,Asian or Pacific Islander,0.283,2.016,7.112
Kidney and Renal Pelvis,2006,Midwest,Black or African American,0.258,4.713,18.278
Kidney and Renal Pelvis,2006,Midwest,White,0.266,4.415,16.587
Kidney and Renal Pelvis,2006,South,American Indian or Alaska Native,0.268,3.911,14.586
Kidney and Renal Pelvis,2006,South,Asian or Pacific Islander,0.322,2.007,6.238
Kidney and Renal Pelvis,2006,South,Black or African American,0.243,3.903,16.055
Kidney and Renal Pelvis,2006,South,White,0.259,4.197,16.222
Kidney and Renal Pelvis,2006,West,American Indian or Alaska Native,0.266,4.345,16.314
Kidney and Renal Pelvis,2006,West,Asian or Pacific Islander,0.258,2.037,7.902
Kidney and Renal Pelvis,2006,West,Black or African American,0.228,3.378,14.813
Kidney and Renal Pelvis,2006,West,White,0.268,3.785,14.125
Kidney and Renal Pelvis,2007,Northeast,Asian or Pacific Islander,0.182,1.324,7.269
Kidney and Renal Pelvis,2007,Northeast,Black or African American,0.202,3.046,15.043
Kidney and Renal Pelvis,2007,Northeast,White,0.221,3.762,17.001
Kidney and Renal Pelvis,2007,Midwest,American Indian or Alaska Native,0.248,4.915,19.802
Kidney and Renal Pelvis,2007,Midwest,Black or African American,0.219,4.368,19.904
Kidney and Renal Pelvis,2007,Midwest,White,0.266,4.427,16.652
Kidney and Renal Pelvis,2007,South,American Indian or Alaska Native,0.288,4.964,17.261
Kidney and Renal Pelvis,2007,South,Asian or Pacific Islander,0.277,1.846,6.672
Kidney and Renal Pelvis,2007,South,Black or African American,0.246,4.284,17.448
Kidney and Renal Pelvis,2007,South,White,0.255,4.199,16.457
Kidney and Renal Pelvis,2007,West,American Indian or Alaska Native,0.279,4.858,17.397
Kidney and Renal Pelvis,2007,West,Asian or Pacific Islander,0.295,2.534,8.596
Kidney and Renal Pelvis,2007,West,Black or African American,0.263,4.463,16.945
Kidney and Renal Pelvis,2007,West,White,0.263,3.806,14.452
Kidney and Renal Pelvis,2008,Northeast,Asian or Pacific Islander,0.146,1.145,7.867
Kidney and Renal Pelvis,2008,Northeast,Black or African American,0.172,2.783,16.141
Kidney and Renal Pelvis,2008,Northeast,White,0.215,3.686,17.117
Kidney and Renal Pelvis,2008,Midwest,American Indian or Alaska Native,0.407,6.238,15.325
Kidney and Renal Pelvis,2008,Midwest,Black or African American,0.207,4.126,19.971
Kidney and Renal Pelvis,2008,Midwest,White,0.265,4.428,16.729
Kidney and Renal Pelvis,2008,South,American Indian or Alaska Native,0.295,5.032,17.068
Kidney and Renal Pelvis,2008,South,Asian or Pacific Islander,0.289,1.629,5.634
Kidney and Renal Pelvis,2008,South,Black or African American,0.245,4.287,17.525
Kidney and Renal Pelvis,2008,South,White,0.252,4.201,16.668
Kidney and Renal Pelvis,2008,West,American Indian or Alaska Native,0.279,5.1,18.28
Kidney and Renal Pelvis,2008,West,Asian or Pacific Islander,0.246,2.146,8.739
Kidney and Renal Pelvis,2008,West,Black or African American,0.179,3.141,17.537
Kidney and Renal Pelvis,2008,West,White,0.25,3.798,15.217
Kidney and Renal Pelvis,2009,Northeast,Asian or Pacific Islander,0.268,2.011,7.512
Kidney and Renal Pelvis,2009,Northeast,Black or African American,0.176,2.888,16.424
Kidney and Renal Pelvis,2009,Northeast,White,0.234,3.867,16.532
Kidney and Renal Pelvis,2009,Midwest,Asian or Pacific Islander,0.215,1.399,6.51
Kidney and Renal Pelvis,2009,Midwest,Black or African American,0.199,3.908,19.667
Kidney and Renal Pelvis,2009,Midwest,White,0.258,4.364,16.93
Kidney and Renal Pelvis,2009,South,American Indian or Alaska Native,0.262,3.956,15.096
Kidney and Renal Pelvis,2009,South,Asian or Pacific Islander,0.451,2.572,5.701
